Al,Ca,Cu,Fe,K,Mg,Mn,Na,Zn,tea
3.297,4.356,0.03129025,0.067,99.06,3.531,1.455,0.541,0.131,BT
4.267,4.118,0.03129025,0.079,106.5,3.378,1.542,0.603,0.126,BT
4.088,4.763,0.033370381,0.084,114,4.763,1.838,1.058,0.156,BT
4.338,4.556,0.033370381,0.091,122.6,5.005,2.269,0.958,0.162,BT
4.732,5.138,0.035514333,0.11,132.4,5.626,2.998,1.51,0.165,BT
4.9,4.941,0.035514333,0.101,144.4,6.114,3.172,1.525,0.172,BT
4.848,5.357,0.033815167,0.122,151.2,7.455,3.814,1.582,0.187,BT
5.023,5.268,0.033815167,0.132,163.4,7.79,3.986,1.568,0.188,BT
4.769,5.368,0.027920417,0.136,179,9.158,4.269,1.594,0.206,BT
5.193,5.357,0.027920417,0.148,169.2,8.987,4.429,1.638,0.196,BT
4.732,5.417,0.027533667,0.149,181.9,9.953,4.989,1.741,0.222,BT
5.047,5.5795,0.027533667,0.157,183.3,9.852,5.032,1.708,0.211,BT
5.061,5.4611,0.026931286,0.165,186.1,11.09,5.351,1.974,0.227,BT
4.828,5.794,0.026931286,0.173,190.3,10.898,5.489,1.898,0.244,BT
7.561,5.307,0.064,0.093,172.7,7.293,3.369,1.501,0.138,BT
8.128,5.2,0.057,0.103,186.3,6.712,3.981,1.583,0.136,BT
9.169,5.597,0.072,0.137,214.7,9.829,4.546,1.889,0.175,BT
8.989,5.364,0.062,0.11,228.3,10.123,4.832,1.933,0.194,BT
8.751,5.943,0.071,0.163,238.7,13.91,5.947,2.373,0.217,BT
9.663,6.015,0.072,0.155,246.5,14.21,5.736,2.249,0.219,BT
9.111,6.205,0.064,0.183,268.6,14.81,7.689,2.408,0.243,BT
9.53,6.399,0.072,0.173,250.6,15.33,7.459,2.492,0.232,BT
9.663,6.597,0.048,0.209,277.2,17.72,7.981,2.626,0.281,BT
10.71,6.766,0.064,0.193,285.8,17.76,8.123,2.571,0.298,BT
10.72,6.874,0.06,0.212,298.7,18.9,8.636,2.936,0.314,BT
11.41,6.972,0.05,0.226,305.6,19.346,8.532,3.012,0.308,BT
11.69,7.246,0.05,0.231,317.9,21.7,9.076,3.243,0.351,BT
10.83,7.131,0.06,0.223,333.4,20.998,9.255,3.167,0.355,BT
11.7,6.513,0.095,0.12,278.8,10.57,4.895,2.312,0.232,BT
12.17,6.3,0.095,0.112,291.9,11.063,4.639,2.249,0.206,BT
13.4,6.972,0.098,0.148,328.1,13.83,6.41,2.626,0.256,BT
12.52,6.738,0.087,0.134,306.6,14.183,6.622,2.877,0.262,BT
14.46,7.184,0.078,0.163,359.4,17.82,8.035,3.401,0.307,BT
14.34,7.763,0.082,0.177,346.6,17.087,8.723,3.305,0.298,BT
14.48,7.276,0.056,0.196,382.7,21.455,10.23,3.789,0.373,BT
17.35,7.984,0.068,0.202,371.7,20.95,10.55,3.531,0.341,BT
15.08,7.821,0.057,0.216,403.4,23.27,11.38,3.911,0.393,BT
17.84,8.188,0.052,0.229,421.6,24,11.56,4.081,0.401,BT
15.22,8.305,0.07329855,0.241,441.8,26.07,12.83,4.181,0.455,BT
18.51,8.118,0.07329855,0.268,458.8,26.44,13.022,4.114,0.433,BT
16.63,8.37,0.097201131,0.294,462.7,29.94,13.382,4.363,0.489,BT
18.303,8.205,0.097201131,0.285,481.9,30.28,13.47,4.404,0.491,BT
2.127,3.792,0.034303607,0.051614557,122.3,5.136,0.799,1.266,0.089,BC
2.15,3.812,0.034303607,0.051614557,125.8,4.963,0.785,1.324,0.098,BC
2.391,3.957,0.038273917,0.052987342,144.7,6.255,1.176,1.488,0.124,BC
2.505,3.898,0.038273917,0.052987342,161.9,7.024,0.989,1.566,0.127,BC
2.565,3.983,0.041491083,0.063,164.2,8.934,1.284,1.714,0.128,BC
2.669,3.966,0.041491083,0.053,179.9,8.169,1.3305,1.696,0.137,BC
2.528,4.102,0.03896475,0.05,195.1,9.867,1.646,1.93,0.14,BC
2.654,4.279,0.03896475,0.069,183.3,10.18,1.683,1.966,0.143,BC
2.587,4.245,0.031652333,0.052,204.5,11.56,1.892,2.031,0.147,BC
2.658,4.417,0.031652333,0.071,211.9,12.12,1.926,2.013,0.145,BC
2.633,4.517,0.032615667,0.066,221.1,13.78,2.199,2.163,0.15,BC
2.458,4.719,0.032615667,0.072,225.1,14.222,2.285,2.22,0.154,BC
2.767,4.762,0.035744167,0.08,232.2,15.7,2.496,2.309,0.173,BC
